"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"937",595918,"A.J. Cole","937","100.00","0.262","0.179","0.299","0.441","0.349","0.341","0.253","51","195","80.4","18.8","2101","88.6","88.77","101","418","511","0.2","6.46","109","150","112","148","294","310","292"
"937",621112,"Paul Blackburn","937","100.00","0.262","0.109","0.273","0.371","0.306","0.325","0.282","58","221","82.0","9.7","2234","86.8","86.43","56","399","534","-0.4","5.97","108","149","115","149","294","322","299"
"930",623395,"Brian Ellington","930","100.00","0.270","0.197","0.333","0.466","0.386","0.342","0.227","48","178","81.3","25.3","2490","95.8","94.98","132","452","470","-0.8","5.98","109","150","110","149","298","321","297"
"929",572021,"James Pazos","929","100.00","0.248","0.141","0.319","0.388","0.320","0.282","0.210","51","206","81.5","13.6","2046","92.0","91.68","122","445","479","-0.3","6.13","108","151","107","147","290","314","291"
"928",453172,"Jared Hughes","928","100.00","0.231","0.165","0.281","0.396","0.318","0.318","0.240","49","212","82.9","4.5","2120","91.9","91.67","114","423","480","-0.2","6.24","110","152","114","146","302","310","287"
"926",572750,"Eddie Butler","926","100.00","0.244","0.132","0.267","0.376","0.319","0.366","0.282","50","205","82.8","17.1","2112","90.7","89.27","76","429","487","-1.4","5.46","113","150","108","150","293","318","296"
"926",542947,"Richard Bleier","926","100.00","0.257","0.112","0.263","0.369","0.292","0.280","0.243","62","241","80.4","2.4","1853","87.5","87.32","92","506","401","-0.2","6.19","109","154","115","145","298","321","297"
"924",519322,"Drew Storen","924","100.00","0.271","0.152","0.316","0.424","0.349","0.316","0.244","57","210","80.0","13.9","2290","85.1","84.25","83","428","469","-0.9","5.80","116","149","112","147","295","304","280"
"922",460283,"Jerry Blevins","922","100.00","0.229","0.096","0.336","0.324","0.299","0.257","0.184","43","188","76.4","18.2","2258","79.7","79.41","120","364","542","-0.3","6.27","112","149","111","147","286","309","296"
"919",621058,"Andrew Moore","919","100.00","0.261","0.239","0.243","0.500","0.330","0.357","0.295","60","230","84.5","25.4","2098","85.6","85.93","80","458","459","0.3","6.48","110","154","112","150","289","313","290"
"919",489265,"Sergio Romo","919","100.00","0.207","0.177","0.243","0.384","0.290","0.288","0.209","42","203","80.1","18.5","2582","80.4","79.83","144","419","491","-0.6","6.11","113","150","111","144","300","322","293"
"915",461833,"Phil Hughes","915","100.00","0.316","0.237","0.335","0.553","0.386","0.363","0.286","72","228","83.8","21.3","2063","85.6","84.49","70","457","447","-1.1","5.71","106","148","113","147","292","314","289"
"911",623167,"Chris Flexen","911","100.00","0.321","0.233","0.345","0.554","0.421","0.365","0.265","62","193","79.9","15.1","2100","89.0","88.83","80","402","503","-0.2","6.22","109","148","110","147","288","311","292"
"911",493247,"Peter Moylan","911","100.00","0.189","0.099","0.221","0.288","0.266","0.286","0.215","40","212","80.2","6.4","2239","84.8","82.97","105","411","481","-1.8","5.32","111","149","109","141","296","319","294"
"911",605388,"Adam Morgan","911","100.00","0.242","0.194","0.297","0.436","0.320","0.297","0.233","51","211","81.3","17.3","2367","86.0","85.10","158","465","438","-0.9","5.75","109","151","111","148","291","316","289"
"910",544928,"Tyler Lyons","910","100.00","0.206","0.101","0.298","0.307","0.276","0.286","0.208","39","189","80.5","17.9","2229","84.6","83.39","103","374","520","-1.2","5.58","111","147","109","146","292","317","297"
"909",543056,"Daniel Coulombe","909","100.00","0.240","0.146","0.280","0.385","0.318","0.327","0.255","46","192","83.9","9.0","2413","85.7","84.43","87","379","520","-1.3","5.56","109","150","113","149","292","322","297"
"909",580792,"Nick Goody","909","100.00","0.198","0.152","0.271","0.350","0.281","0.283","0.201","39","197","80.0","25.5","2265","87.7","87.57","159","445","449","-0.1","6.22","107","150","113","148","290","312","289"
"904",543144,"Danny Farquhar","904","100.00","0.223","0.086","0.273","0.309","0.293","0.282","0.190","39","175","80.2","21.3","2229","89.0","88.71","122","422","463","-0.3","6.26","113","149","114","146","295","321","296"
"904",519151,"Ryan Pressly","904","100.00","0.229","0.172","0.268","0.401","0.303","0.307","0.236","52","227","82.7","13.7","2678","91.3","90.37","119","439","447","-0.9","5.81","108","147","115","146","291","315","290"
"903",593140,"Michael Feliz","903","100.00","0.276","0.234","0.381","0.510","0.364","0.313","0.235","53","192","81.8","21.3","2269","93.0","93.22","138","426","470","0.2","6.50","108","148","115","149","289","314","289"
"900",571656,"Buck Farmer","900","100.00","0.285","0.197","0.336","0.482","0.366","0.302","0.225","55","193","82.6","22.5","2233","88.1","87.58","105","401","490","-0.5","6.01","109","151","112","144","295","326","296"
"900",474463,"Brett Anderson","900","100.00","0.322","0.176","0.364","0.498","0.377","0.372","0.309","73","227","84.3","7.3","1987","85.9","84.99","84","405","488","-0.9","5.77","108","151","108","148","296","319","289"
"896",451661,"Josh Fields","896","100.00","0.194","0.184","0.219","0.379","0.274","0.277","0.202","40","206","82.2","28.2","2181","92.1","91.88","134","507","381","-0.2","6.21","115","154","111","147","298","323","298"
"892",606424,"Jarlin Garcia","892","100.00","0.235","0.155","0.266","0.390","0.303","0.301","0.234","47","200","81.6","16.9","2195","90.1","89.30","109","412","473","-0.8","5.95","108","150","107","148","295","320","297"
"890",573124,"Taylor Rogers","890","100.00","0.246","0.123","0.295","0.370","0.308","0.338","0.270","52","211","81.6","12.7","2311","88.1","87.11","80","381","482","-1.0","5.79","105","147","114","146","291","316","291"
"887",605177,"Andrew Chafin","887","100.00","0.246","0.128","0.331","0.374","0.309","0.298","0.226","48","195","81.6","7.2","2186","89.2","89.24","103","380","491","0.0","6.37","110","153","114","148","302","324","301"
"887",518813,"Greg Holland","887","100.00","0.193","0.145","0.252","0.338","0.280","0.270","0.183","40","207","83.0","17.1","2245","88.5","87.89","140","391","488","-0.6","5.75","113","153","111","147","304","323","305"
"883",572096,"Trevor Rosenthal","883","100.00","0.210","0.068","0.340","0.278","0.263","0.252","0.188","37","176","79.7","21.5","2336","95.6","94.78","152","436","445","-0.8","5.89","113","147","108","147","296","319","302"
"879",547973,"Aroldis Chapman","879","100.00","0.200","0.097","0.298","0.297","0.266","0.247","0.174","37","185","79.4","18.6","2462","97.2","97.73","133","444","427","0.5","6.69","107","149","112","145","296","319","288"
"878",445197,"Mike Dunn","878","100.00","0.228","0.180","0.276","0.407","0.321","0.292","0.210","43","189","82.7","22.2","2378","88.6","89.13","95","363","514","0.5","6.44","109","153","115","146","301","320","302"
